type id deploy_time lat lon
SPOT 0-4496232 2025-05-12T12:00:00Z 59.2815 -16.5124
SPOT 0-4496931 2025-05-12T12:00:00Z 59.2815 -16.5124
SPOT 0-4498291 2025-05-12T12:00:00Z 59.2815 -16.5124
SPOT 0-4498293 2025-05-12T12:00:00Z 59.2815 -16.5124
SPOT 0-4496686 2025-05-12T12:00:00Z 59.2815 -16.5124
SPOT 0-4496644 2025-05-18T17:40:00Z 48.9204 -16.6375
SPOT 0-4496719 2025-05-18T17:40:00Z 48.9204 -16.6375
SPOT 0-4496738 2025-05-18T17:40:00Z 48.9204 -16.6375
SPOT 0-4496889 2025-05-18T17:40:00Z 48.9204 -16.6375
SPOT 0-4496973 2025-05-18T17:40:00Z 48.9204 -16.6375
SPOT 0-4496874 2025-05-24T22:20:00Z 36.4831 -8.3211
SPOT 0-4495957 2025-05-24T22:20:00Z 36.4831 -8.3211
SPOT 0-4497923 2025-05-24T22:20:00Z 36.4831 -8.3211
SPOT 0-4496946 2025-05-24T22:20:00Z 36.4831 -8.3211
SPOT 0-4498273 2025-05-24T22:20:00Z 36.4831 -8.3211
SPOT 0-4498269 2025-05-30T20:40:00Z 39.2014 3.3971
SPOT 0-4498294 2025-05-30T20:40:00Z 39.2014 3.3971
SPOT 0-4497908 2025-05-30T20:40:00Z 39.2014 3.3971
SPOT 0-4497890 2025-05-30T20:40:00Z 39.2014 3.3971
SPOT 0-4498276 2025-05-30T20:40:00Z 39.2014 3.3971
MELODI 301434060788400 2025-04-25T07:25:00Z 69.6960 2.6789
MELODI 301434060093370 2025-04-25T18:30:00Z 69.4791 1.7332
MELODI 301434060985250 2025-04-26T08:55:00Z 69.2803 1.5998
MELODI 301434060841140 2025-04-26T20:50:00Z 69.0324 1.6073
MELODI 301434060196320 2025-04-30T04:00:00Z 67.0591 -14.4618
MELODI 301434060981270 2025-04-30T03:35:00Z 67.0590 -14.4683
MELODI 301434060883390 2025-05-03T10:00:00Z 66.2679 -22.6930
MELODI 301434060988270 2025-05-09T20:30:00Z 62.5206 -20.4176
MELODI 301434060093280 2025-05-09T20:40:00Z 62.5186 -20.3987
MELODI 301434060783360 2025-05-11T19:50:00Z 60.1387 -17.2249
MELODI 301434060681980 2025-05-12T11:40:00Z 59.2815 -16.5124
MELODI 301434060849150 2025-05-18T17:40:00Z 48.9204 -16.6375
MELODI 301434060785380 2025-05-20T10:45:00Z 45.2453 -12.6237
MELODI 301434060198310 2025-05-22T14:55:00Z 41.2209 -9.2101
MELODI 301434060982270 2025-05-23T05:45:00Z 39.8486 -9.7534
MELODI 301434060781330 2025-05-23T23:40:00Z 38.3922 -10.6127
MELODI 301434060786390 2025-05-24T22:25:00Z 36.4831 -8.3211
MELODI 301434060198320 2025-05-27T19:40:00Z 36.0759 -4.4871
MELODI 301434060983290 2025-05-30T06:40:00Z 38.6083 2.4308
MELODI 301434060192330 2025-06-03T13:35:00Z 43.4014 7.2526
